ndc,word,word_frequency
BUSINESS/ECONOMY/FINANCIAL,earnings,39369
BUSINESS/ECONOMY/FINANCIAL,reports,38754
BUSINESS/ECONOMY/FINANCIAL,qtr,34392
BUSINESS/ECONOMY/FINANCIAL,business,17471
BUSINESS/ECONOMY/FINANCIAL,company,9687
BUSINESS/ECONOMY/FINANCIAL,world,9621
BUSINESS/ECONOMY/FINANCIAL,deal,9206
BUSINESS/ECONOMY/FINANCIAL,million,7845
BUSINESS/ECONOMY/FINANCIAL,bank,7006
BUSINESS/ECONOMY/FINANCIAL,buy,6619
BUSINESS/ECONOMY/FINANCIAL,big,6284
BUSINESS/ECONOMY/FINANCIAL,chief,6113
BUSINESS/ECONOMY/FINANCIAL,market,6056
BUSINESS/ECONOMY/FINANCIAL,billion,6054
BUSINESS/ECONOMY/FINANCIAL,profit,5766
BUSINESS/ECONOMY/FINANCIAL,rates,5470
BUSINESS/ECONOMY/FINANCIAL,executive,5345
BUSINESS/ECONOMY/FINANCIAL,unit,5185
BUSINESS/ECONOMY/FINANCIAL,stock,5050
BUSINESS/ECONOMY/FINANCIAL,technology,5006
WORLD/INTERNATIONAL/FOREIGN,world,12169
WORLD/INTERNATIONAL/FOREIGN,national,7166
WORLD/INTERNATIONAL/FOREIGN,clinton,6304
WORLD/INTERNATIONAL/FOREIGN,bush,6092
WORLD/INTERNATIONAL/FOREIGN,iraq,5819
WORLD/INTERNATIONAL/FOREIGN,house,5754
WORLD/INTERNATIONAL/FOREIGN,court,5726
WORLD/INTERNATIONAL/FOREIGN,war,5628
WORLD/INTERNATIONAL/FOREIGN,leader,5531
WORLD/INTERNATIONAL/FOREIGN,obama,5335
WORLD/INTERNATIONAL/FOREIGN,china,5333
WORLD/INTERNATIONAL/FOREIGN,dies,5143
WORLD/INTERNATIONAL/FOREIGN,police,4707
WORLD/INTERNATIONAL/FOREIGN,south,4662
WORLD/INTERNATIONAL/FOREIGN,dead,4626
WORLD/INTERNATIONAL/FOREIGN,president,4210
WORLD/INTERNATIONAL/FOREIGN,talks,4099
WORLD/INTERNATIONAL/FOREIGN,north,4015
WORLD/INTERNATIONAL/FOREIGN,senate,3901
WORLD/INTERNATIONAL/FOREIGN,health,3871
SPORTS,sports,8914
SPORTS,mets,5505
SPORTS,transactions,4800
SPORTS,game,4309
SPORTS,knicks,4012
SPORTS,yankees,3857
SPORTS,big,3577
SPORTS,giants,3297
SPORTS,jets,3054
SPORTS,team,3006
SPORTS,win,2912
SPORTS,first,2816
SPORTS,world,2792
SPORTS,nets,2787
SPORTS,cup,2716
SPORTS,rangers,2699
SPORTS,coach,2615
SPORTS,wins,2485
SPORTS,victory,2456
SPORTS,top,2374
HOME,inside,5600
HOME,police,4350
HOME,jersey,3953
HOME,school,2929
HOME,death,2319
HOME,home,2117
HOME,brooklyn,2055
HOME,charged,1975
HOME,mayor,1882
HOME,fire,1743
HOME,bridge,1696
HOME,digest,1661
HOME,budget,1640
HOME,officer,1589
HOME,schools,1585
HOME,killed,1581
HOME,judge,1579
HOME,giuliani,1567
HOME,dies,1561
HOME,bronx,1559
ARTS/CULTURE,dies,5177
ARTS/CULTURE,tv,3108
ARTS/CULTURE,art,3003
ARTS/CULTURE,music,2344
ARTS/CULTURE,season,1910
ARTS/CULTURE,film,1710
ARTS/CULTURE,life,1640
ARTS/CULTURE,theater,1640
ARTS/CULTURE,dance,1599
ARTS/CULTURE,world,1591
ARTS/CULTURE,festival,1518
ARTS/CULTURE,broadway,1465
ARTS/CULTURE,museum,1389
ARTS/CULTURE,opera,1327
ARTS/CULTURE,love,1262
ARTS/CULTURE,big,1261
ARTS/CULTURE,dead,1248
ARTS/CULTURE,show,1214
ARTS/CULTURE,arts,1201
ARTS/CULTURE,book,1145
WEEKEND,art,6277
WEEKEND,listings,3972
WEEKEND,review,2550
WEEKEND,spare,1704
WEEKEND,long,1685
WEEKEND,children,1625
WEEKEND,island,1584
WEEKEND,life,1526
WEEKEND,music,1484
WEEKEND,dance,1473
WEEKEND,home,1457
WEEKEND,theater,1437
WEEKEND,jazz,1395
WEEKEND,ideas,1349
WEEKEND,jersey,1307
WEEKEND,classical,1197
WEEKEND,film,1154
WEEKEND,world,1153
WEEKEND,pop,1128
WEEKEND,weekend,1113
MEDIA,war,1808
MEDIA,iraq,1233
MEDIA,public,1095
MEDIA,health,1089
MEDIA,foreign,975
MEDIA,need,875
MEDIA,care,868
MEDIA,right,852
MEDIA,good,841
MEDIA,bush,811
MEDIA,politics,810
MEDIA,law,781
MEDIA,help,773
MEDIA,tax,768
MEDIA,rights,761
MEDIA,america,755
MEDIA,peace,752
MEDIA,school,752
MEDIA,schools,747
MEDIA,clinton,731
ENTERTAINMENT,lottery,3203
ENTERTAINMENT,police,2419
ENTERTAINMENT,brooklyn,1995
ENTERTAINMENT,dies,1524
ENTERTAINMENT,jersey,1435
ENTERTAINMENT,school,1383
ENTERTAINMENT,events,1231
ENTERTAINMENT,island,1173
ENTERTAINMENT,bronx,1148
ENTERTAINMENT,long,1089
ENTERTAINMENT,death,1028
ENTERTAINMENT,schools,1025
ENTERTAINMENT,mayor,1023
ENTERTAINMENT,queens,993
ENTERTAINMENT,cuomo,948
ENTERTAINMENT,charged,934
ENTERTAINMENT,health,913
ENTERTAINMENT,home,844
ENTERTAINMENT,judge,838
ENTERTAINMENT,court,817
OPINION/EDITORIAL,trump,2340
OPINION/EDITORIAL,war,933
OPINION/EDITORIAL,donald,764
OPINION/EDITORIAL,america,755
OPINION/EDITORIAL,climate,739
OPINION/EDITORIAL,health,711
OPINION/EDITORIAL,president,649
OPINION/EDITORIAL,obama,634
OPINION/EDITORIAL,world,555
OPINION/EDITORIAL,good,554
OPINION/EDITORIAL,big,552
OPINION/EDITORIAL,right,530
OPINION/EDITORIAL,american,528
OPINION/EDITORIAL,care,526
OPINION/EDITORIAL,need,473
OPINION/EDITORIAL,court,472
OPINION/EDITORIAL,life,470
OPINION/EDITORIAL,bad,451
OPINION/EDITORIAL,like,443
OPINION/EDITORIAL,politics,442
TRAVEL,review,2481
TRAVEL,music,2227
TRAVEL,travel,1942
TRAVEL,classical,1314
TRAVEL,hotel,1182
TRAVEL,pop,1113
TRAVEL,dance,1068
TRAVEL,hours,970
TRAVEL,theater,942
TRAVEL,art,873
TRAVEL,life,755
TRAVEL,jazz,701
TRAVEL,books,670
TRAVEL,paris,538
TRAVEL,london,517
TRAVEL,world,511
TRAVEL,deals,456
TRAVEL,home,451
TRAVEL,hotels,418
TRAVEL,discounts,416
